code,name
101,ACTS New Delhi
102,Bytes New Delhi
103,SVTL Chandigarh
105,KCC Delhi
110,CDAC Mohali
111,AWWA New Delhi
201,CITM Lucknow
202,JSI Noida
204,GITI Varanasi
205,ACTS Noida
207,MNNIT Allahabad
301,GET Ahmedabad
302,Kudos Jaipur
304,TWIST Baroda
306,GET Surat
308,QBIT Jaipur
309,NET Sikar
401,ACTS Pune
402,SIST Thane
403,CDAC Mumbai
404,MET Mumbai
405,CDAC Mumbai
405,ADCC Nagpur
406,ACCT Nashik
407,AMIMR Navi Mumbai
408,SIIT Karad
412,IACSD Akurdi
430,Know IT Pune
431,Infoway Pune
434,YCP Mumbai
435,Soft Nagpur
437,VIIT Baramati
442,SIIT Pune
443,GIRC Indore
445,VITA Mumbai
447,AET Mumbai
456,SP Bhopal
459,IET Pune
461,IDS Gwalior
462,KOKO Dadar
463,GOA
469,TICA Mumbai
473,BKC Nashik
474,GI Kolhapur
475,"AIPL, Solapur"
477,MACS Indore
478,Orlando Indore
501,ACTS Bangalore
502,VSS Bangalore
503,ACTS Hyderabad
513,UTL Secynderabad
515,SC Hyderabad
517,"ATM, Mysore"
518,VTS Bangalore
519,CDAC Bangalore Ecity
601,SIST Chennai
602,TICT Trivandrum
603,AIAC Coimbatore
604,AICT Chennai
605,ER&DCI Kochi
606,TICT Madurai
608,ACTS Chennai
609,CDAC TVM
611,BP IT Chennai
701,ICSIT Kolkata
703,ISDAC Bhubaneswar
704,IIP Kolkata
706,CDAC Kolkata
707,Lakshya Bhubaneshwar
801,BIT Ranchi
802,CFS Patna
804,ASTRIC Patna
806,COE Gaya
